pass_id,sat_id,pass_num,timestamp,duration_min,orbital_mode,ground_station,battery_voltage,solar_current,power_bus_voltage,battery_soc,battery_temp,obc_temp,solar_panel_temp,attitude_error,angular_velocity,wheel_speed,rssi,ber,link_margin,cpu_usage,memory_usage,uptime_sec,error_count,operator_note,scenario_name
PASS-1016,SAT-1002,6,2026-06-30T07:30:00Z,10.69,transition,GS-SVALBARD,26.82,2.05,5,87.11,21.6,27.4,7,2.742,0.165,-1254,-93.5,1.20E-05,3.5,60,65,186160.8,0,Minor RF noise observed during tracking. Link margin at 3.5 dB.,Comms Degradation Trend
PASS-1017,SAT-1002,7,2026-06-30T09:00:00Z,8.64,sunlight,GS-KIRUNA,27.98,4.79,5.02,96.16,20.5,28.9,68.6,2.603,0.166,-1329,-97,0.00012,2.5,60,63.1,192079.2,0,Minor RF noise observed during tracking. Link margin at 2.5 dB.,Comms Degradation Trend
PASS-1018,SAT-1002,8,2026-06-30T10:30:00Z,10.38,sunlight,GS-ADELAIDE,28.28,4.11,5,96.06,20.7,26.9,64.2,2.444,0.171,-1402,-100.5,0.0012,1.5,58.3,64.7,198102,0,Minor RF noise observed during tracking. Link margin at 1.5 dB.,Comms Degradation Trend
PASS-1019,SAT-1002,9,2026-06-30T12:00:00Z,8.85,transition,GS-PERTH,27.09,1.94,5.04,88.54,21.1,29.8,12.8,2.317,0.166,-1353,-102.5,0.00035,1.2,58.5,65,204033,0,"Significant data corruption on download, BER above limits. Persistently poor link margin.",Comms Link Failure
PASS-1020,SAT-1002,10,2026-06-30T13:30:00Z,9.21,eclipse,GS-MASPALOMAS,25.63,0.018,4.95,73.49,21.9,26.8,-56.2,2.228,0.161,-1424,-102.5,0.00035,1.2,58.2,65,209985.6,0,"Significant data corruption on download, BER above limits. Persistently poor link margin.",Comms Link Failure
PASS-1021,SAT-1003,1,2026-06-30T00:00:00Z,11.41,sunlight,GS-ADELAIDE,25.99,4.58,5.02,72.2,22.1,25.1,66.8,0.309,0.144,1147,-69.2,4.55E-07,10.9,32.7,51.7,206084.6,0,Solar array output stable. Bus voltage nominal.,Subtle Voltage Decline
PASS-1022,SAT-1003,2,2026-06-30T01:30:00Z,9.95,sunlight,GS-PERTH,25.64,4.8,4.98,67.7,19.6,27.2,72.3,0.254,0.147,1185,-68.7,1.26E-07,10.1,33.5,52.5,212081.6,0,"Sunlight operations stable, EPS performing well.",Subtle Voltage Decline
PASS-1023,SAT-1003,3,2026-06-30T03:00:00Z,11.39,transition,GS-MASPALOMAS,25.17,1.43,5.02,63.1,20.8,28,12.5,0.244,0.161,1205,-69.3,3.14E-07,11.3,35.3,54.3,218165,0,"Transition pass, checking battery charge switch-over.",Subtle Voltage Decline
PASS-1024,SAT-1003,4,2026-06-30T04:30:00Z,9.66,eclipse,GS-GSOC,24.79,0.016,5,58.3,21.3,27.9,-57.6,0.201,0.152,1221,-71.2,4.60E-07,9.5,34.7,56,224144.6,0,"Eclipse pass, thermal subsystem maintaining temperature.",Subtle Voltage Decline
PASS-1025,SAT-1003,5,2026-06-30T06:00:00Z,11.46,eclipse,GS-SVALBARD,24.4,0.021,5.03,53.1,21.9,28.6,-53.9,0.16,0.143,1216,-71.7,2.31E-07,11,34.7,56,230232.2,0,voltage is drifting lower across the last few passes,Voltage Drift (Unambiguous Trend)
PASS-1026,SAT-1003,6,2026-06-30T07:30:00Z,9.19,transition,GS-KIRUNA,23.94,1.96,5.01,48.1,22.4,32.1,10.6,0.212,0.16,1272,-70.9,7.57E-08,11.7,37.3,55.8,236183.6,0,"Voltage continues to slide, currently at 23.94V. Discharge rate higher than model.",Voltage Drift (Continued Decline)
PASS-1027,SAT-1003,7,2026-06-30T09:00:00Z,11.44,sunlight,GS-ADELAIDE,23.43,4.68,4.99,42,22.2,28.7,73.2,0.209,0.161,1265,-71.2,4.23E-07,11.6,40.2,56,242270,0,"Voltage continues to slide, currently at 23.43V. Discharge rate higher than model.",Voltage Drift (Continued Decline)
PASS-1028,SAT-1003,8,2026-06-30T10:30:00Z,11.44,sunlight,GS-PERTH,22.96,4.09,5.04,34.6,22.5,26.1,66.5,0.183,0.176,1328,-71.7,3.00E-08,10.1,39.7,55.6,248356.4,0,"Voltage continues to slide, currently at 22.96V. Discharge rate higher than model.",Voltage Drift (Continued Decline)
PASS-1029,SAT-1003,9,2026-06-30T12:00:00Z,9.88,transition,GS-MASPALOMAS,22.53,1.68,5.08,27,22.1,26.6,11.1,0.214,0.165,1387,-72.2,2.47E-07,9.5,38.6,56.2,254349.2,0,"Voltage at 22.53V, approaching red limit. SoC at 27.0%.",Voltage Warning (Yellow Limit)
PASS-1030,SAT-1003,10,2026-06-30T13:30:00Z,10.66,eclipse,GS-GSOC,21.93,0.022,5.04,18,20.2,24.7,-53.8,0.204,0.171,1337,-72.9,1.24E-07,10.2,38.9,56.3,260388.8,0,"Voltage below 22V on entry, flagged for review immediately",Scenario C — Hard Limit Breach (Critical)
PASS-1031,SAT-1004,1,2026-06-30T00:00:00Z,9.35,sunlight,GS-PERTH,28.48,4.67,5.05,96.07,22,28.3,66.9,0.34,0.115,-1316,-76.3,9.50E-08,8.5,33.6,45.3,255961,0,Solar array output stable. Bus voltage nominal.,Nominal Operations
PASS-1032,SAT-1004,2,2026-06-30T01:30:00Z,8.52,sunlight,GS-MASPALOMAS,28.49,4.51,5.04,95.16,22.4,31.6,71.7,0.335,0.121,-1363,-75.4,3.86E-07,10.5,32.4,47.1,261872.2,0,Solar array output stable. Bus voltage nominal.,Nominal Operations
PASS-1033,SAT-1004,3,2026-06-30T03:00:00Z,9.61,sunlight,GS-GSOC,28.45,4.48,5.03,96.79,21.1,28.5,9.6,0.304,0.119,-1347,-74.3,2.10E-07,10.1,32.6,47.6,267848.8,0,"Entering eclipse transition, solar current decreasing.",Nominal Operations
PASS-1034,SAT-1004,4,2026-06-30T04:30:00Z,11.03,sunlight,GS-SVALBARD,28.6,4.56,5.01,95.21,22.6,27.2,-53.8,0.363,0.116,-1369,-72.8,1.95E-07,9,34,47.3,273910.6,0,No solar array output. Battery voltage stable.,Nominal Operations
PASS-1035,SAT-1004,5,2026-06-30T06:00:00Z,9.57,transition,GS-KIRUNA,26.4,1.6,5.06,86,23.8,26.2,-58.5,0.374,0.132,-1309,-71.8,3.92E-07,10.2,34,48.1,279884.8,0,Battery draw within predicted eclipse profile.,Nominal Operations
PASS-1036,SAT-1004,6,2026-06-30T07:30:00Z,10.79,eclipse,GS-ADELAIDE,25.2,0.01,5.06,74,21.3,27.1,7.2,0.395,0.143,-1274,-72.5,9.90E-08,9.5,34.6,50,285932.2,0,"Transitioning to sunlight, solar array output rising.",Eclipse Operations
PASS-1037,SAT-1004,7,2026-06-30T09:00:00Z,9.53,eclipse,GS-PERTH,24.5,0.01,4.97,60,21.6,27.1,69.9,0.435,0.135,-1337,-72.8,1.01E-07,10.1,36.6,49.4,291904,0,"Acquisition of signal successful, subsystems in nominal sunlight state.",Eclipse Operations
PASS-1038,SAT-1004,8,2026-06-30T10:30:00Z,10.06,eclipse,GS-MASPALOMAS,23.6,0.01,5.02,45,21.4,26,63,0.422,0.139,-1332,-74,2.32E-07,10.3,38.5,48.6,297907.6,0,Nominal sunlight pass. Battery SOC recovering.,Eclipse Operations
PASS-1039,SAT-1004,9,2026-06-30T12:00:00Z,9.24,eclipse,GS-GSOC,22.8,0.01,5.05,31,21,26.7,12.2,0.416,0.147,-1338,-73.6,1.57E-07,9.8,38.8,47.3,303862,0,"battery dipping during eclipse, watching it",Scenario B — Eclipse Battery Stress
PASS-1040,SAT-1004,10,2026-06-30T13:30:00Z,9.13,eclipse,GS-SVALBARD,22.1,0.01,5.1,22,20.3,30.8,-65.6,0.445,0.125,-1347,-74.6,3.26E-07,9.9,38.3,46.9,309809.8,0,"Battery voltage recovered slowly, eclipse duration remains high.",Post-Eclipse Stress Recovery
PASS-1041,SAT-1005,1,2026-06-30T00:00:00Z,8.56,sunlight,GS-MASPALOMAS,28.21,4.27,5.04,94.87,20.4,27.3,67.3,0.35,0.133,-1187,-71.7,1.54E-07,11,29.8,47.8,305913.6,0,All solar panels generating power. Charging battery.,Nominal Operations
PASS-1042,SAT-1005,2,2026-06-30T01:30:00Z,8.54,sunlight,GS-GSOC,28.46,4.17,5,93.76,24,24.5,70.3,0.308,0.113,-1201,-71.8,3.84E-07,11.3,32.3,48,311826,0,"Sunlight tracking nominal, EPS fully charged.",Nominal Operations
PASS-1043,SAT-1005,3,2026-06-30T03:00:00Z,9.95,transition,GS-SVALBARD,27.14,1.8,5,88.13,24.4,29.2,4,0.36,0.126,-1213,-71.8,4.29E-08,11.6,32.5,49.3,317823,0,"attitude looks wrong to me, wheel speed feels high",Scenario E — Potential Conflict
PASS-1044,SAT-1005,4,2026-06-30T04:30:00Z,9.12,eclipse,GS-KIRUNA,25.81,0.028,5.04,75.99,21.8,29.6,-53.5,0.29,0.13,-1285,-72.5,1.30E-07,9.3,31.4,49.5,323770.2,0,"Orbital shadow, EPS on battery draw only.",Nominal Operations
PASS-1045,SAT-1005,5,2026-06-30T06:00:00Z,10.66,eclipse,GS-ADELAIDE,25.61,0.016,5.08,74.49,21.5,28.2,-54.3,0.274,0.13,-1330,-71.4,6.22E-08,9.9,35.2,49.4,329809.8,0,Satellite in eclipse. Power subsystem performing within specs.,Nominal Operations
PASS-1046,SAT-1005,6,2026-06-30T07:30:00Z,9.55,transition,GS-PERTH,26.66,2.05,5.09,86.58,23.5,26.8,11.1,0.75,0.141,3200,-70.3,4.90E-07,10.7,36.2,50.2,335782.8,0,"Wheel speed trending higher, possible reaction wheel friction",ADCS Reaction Wheel Friction Trend
PASS-1047,SAT-1005,7,2026-06-30T09:00:00Z,11.46,sunlight,GS-MASPALOMAS,28.26,4.65,5.03,95.21,20.1,25.8,71.2,1.35,0.138,3900,-71.7,6.91E-08,10.9,35.5,51.1,341870.4,0,ADCS attitude error creep observed. Reaction wheel speed at 3900 RPM.,ADCS Friction Creep
PASS-1048,SAT-1005,8,2026-06-30T10:30:00Z,11.15,sunlight,GS-GSOC,28.39,3.99,4.96,96.44,22.3,30.8,71.7,2.45,0.145,4400,-73.8,4.95E-07,11,35.2,50,347939.4,0,ADCS attitude error creep observed. Reaction wheel speed at 4400 RPM.,ADCS Friction Creep
PASS-1049,SAT-1005,9,2026-06-30T12:00:00Z,8.53,transition,GS-SVALBARD,26.8,1.77,4.97,87.17,22.9,26.4,9,3.75,0.144,4800,-72.9,3.61E-07,10.1,35.2,49.9,353851.2,0,ADCS attitude error creep observed. Reaction wheel speed at 4800 RPM.,ADCS Friction Creep
PASS-1050,SAT-1005,10,2026-06-30T13:30:00Z,8.63,eclipse,GS-KIRUNA,25.26,0.01,5.04,75.86,21.8,26.3,-45.8,5.32,1.85,5250,-70.7,1.23E-07,10.1,35.9,50.2,359769,1,"Reaction wheel speed saturated, attitude error exceeded critical limit of 5 deg.",ADCS Control Loss
PASS-1051,SAT-2001,1,2026-06-30T04:30:00Z,9.69,sunlight,GS-SVALBARD,28.2,4.53,5.05,94.91,24.1,29.4,67.6,0.336,0.096,1271,-73.2,4.66E-07,9.8,33.4,48.6,350367.2,0,"Acquisition of signal successful, subsystems in nominal sunlight state.",Nominal Operations
PASS-1052,SAT-2001,2,2026-06-30T06:00:00Z,9.28,sunlight,GS-PERTH,28.21,4.69,5.05,94.37,22.1,31.7,70.5,0.346,0.104,1278,-73.6,8.86E-08,10.1,35.1,48.7,356324,0,"Sunlight operations stable, EPS performing well.",Nominal Operations
PASS-1053,SAT-2001,3,2026-06-30T07:30:00Z,11.29,transition,GS-ADELAIDE,26.93,2.01,5.02,87.75,23.8,26.4,11.8,0.332,0.104,1331,-74.6,4.91E-07,9.4,35.1,49.5,362401.4,0,"Penumbra entry, solar current declining.",Nominal Operations
PASS-1054,SAT-2001,4,2026-06-30T09:00:00Z,8.53,eclipse,GS-PERTH,25.44,0.024,5.03,78.44,24.4,27.8,-53.9,0.335,0.109,1352,-74.5,2.95E-07,10.6,34.8,49.1,368313.2,0,"Eclipse entry, solar current zeroed as expected.",Nominal Operations
PASS-1055,SAT-2001,5,2026-06-30T10:30:00Z,8.67,eclipse,GS-KIRUNA,25.88,0.017,5.07,80.21,21.1,27.7,-56.8,0.366,0.109,1403,-73.1,4.15E-07,11.2,33,49.2,374233.4,0,"Orbital shadow, EPS on battery draw only.",Nominal Operations
PASS-1056,SAT-2001,6,2026-06-30T12:00:00Z,10.46,transition,GS-KIRUNA,25.03,1.73,5.05,65,35.1,26.4,13.2,0.377,0.125,1461,-73.3,5.47E-08,10.1,55,47.5,380261,0,Multi-system cautions: battery voltage low and CPU usage high.,Multi-System Stress
PASS-1057,SAT-2001,7,2026-06-30T13:30:00Z,10.89,sunlight,GS-ADELAIDE,24.55,4.62,4.99,59.5,36.7,28.7,65.7,0.372,0.112,1450,-72.4,1.62E-07,10,62,46.8,386314.4,0,Coincident warnings on power bus and thermal subsystems.,Multi-System Stress
PASS-1058,SAT-2001,8,2026-06-30T15:00:00Z,11.42,sunlight,GS-MASPALOMAS,24.2,4.36,5.03,54,38.5,28,66.3,0.368,0.102,1387,-72.5,1.70E-07,10.5,69,47.7,392399.6,0,Simultaneous deviations on EPS and ADCS. Telemetry under review.,Multi-System Stress
PASS-1059,SAT-2001,9,2026-06-30T16:30:00Z,11.43,transition,GS-SVALBARD,23.8,1.96,5.01,48.5,40.6,28.6,6,0.366,0.098,1420,-71.7,1.76E-07,11,76,48.1,398485.4,0,Coincident warnings on power bus and thermal subsystems.,Multi-System Stress
PASS-1060,SAT-2001,10,2026-06-30T18:00:00Z,10.95,eclipse,GS-SVALBARD,23.37,0.03,5.01,43,42.4,29.3,-48.7,0.43,0.097,1444,-71.3,2.22E-07,10.8,83,46.1,404542.4,0,Multi-system cautions: battery voltage low and CPU usage high.,Multi-System Stress
PASS-1061,SAT-2002,1,2026-06-30T05:00:00Z,10.39,sunlight,GS-ADELAIDE,28.5,4.19,5.07,94.89,32,26.9,70.4,0.259,0.099,1075,-75.1,3.61E-07,10.8,36.7,50.5,149877,0,"Sunlight operations stable, EPS performing well.",Nominal Operations
PASS-1062,SAT-2002,2,2026-06-30T06:30:00Z,9.24,sunlight,GS-ADELAIDE,27.95,4.82,5.05,96.81,32,26.6,65.4,0.214,0.101,1132,-73.3,1.26E-07,10.8,36.6,48.9,155831.4,0,"Acquisition of signal successful, subsystems in nominal sunlight state.",Nominal Operations
PASS-1063,SAT-2002,3,2026-06-30T08:00:00Z,9.01,transition,GS-SVALBARD,26.68,2.09,4.99,87.75,32.1,28.2,6.3,0.181,0.089,1113,-73,3.56E-07,11.4,38.4,50.4,161772,0,"Transition mode, power bus voltage stable.",Nominal Operations
PASS-1064,SAT-2002,4,2026-06-30T09:30:00Z,9.12,eclipse,GS-PERTH,25.41,0.018,5.01,78.3,32.2,26.9,-48.1,0.209,0.11,1097,-72.5,1.35E-07,8.8,38.1,50.5,167719.2,0,Solar current is zero in shadow. Discharging battery.,Nominal Operations
PASS-1065,SAT-2002,5,2026-06-30T11:00:00Z,8.92,eclipse,GS-MASPALOMAS,25.29,0.026,4.99,79.23,32.5,31.8,-55.8,0.22,0.111,1127,-72.2,2.90E-07,11.4,41.1,51.5,173654.4,0,"Eclipse pass, SoC trending down as modelled.",Nominal Operations
PASS-1066,SAT-2002,6,2026-06-30T12:30:00Z,11.32,transition,GS-MASPALOMAS,26.57,2.05,5,88.45,32.5,28.7,11.6,0.236,0.117,1137,-73,3.37E-07,11,41.6,49.8,179733.6,0,Monitoring rising thermal trend on battery modules.,Thermal Drift
PASS-1067,SAT-2002,7,2026-06-30T14:00:00Z,9.81,sunlight,GS-KIRUNA,28.07,4.21,5.05,93.66,33.5,31.2,61.9,0.27,0.127,1144,-72.9,2.98E-07,10.9,45,49.5,185722.2,0,OBC board temperature higher than normal baseline.,Thermal Drift
PASS-1068,SAT-2002,8,2026-06-30T15:30:00Z,10,sunlight,GS-PERTH,28.37,4.51,5.02,94.55,36.1,24.9,72.3,0.219,0.139,1149,-72,4.78E-07,10.3,45.8,50.1,191722.2,0,Monitoring rising thermal trend on battery modules.,Thermal Drift
PASS-1069,SAT-2002,9,2026-06-30T17:00:00Z,9.09,transition,GS-PERTH,26.74,1.69,5.02,85.46,37.3,25.8,10.9,0.263,0.151,1119,-73.3,6.97E-08,10.9,47,49.5,197667.6,0,Monitoring rising thermal trend on battery modules.,Thermal Drift
PASS-1070,SAT-2002,10,2026-06-30T18:30:00Z,10.08,eclipse,GS-GSOC,25.59,0.012,5.04,77.96,40.6,30.7,-54.5,0.253,0.159,1191,-72.8,1.14E-07,9.4,47.6,49.2,203672.4,0,Thermal warning: Battery at 40.6°C. Dissipation panel efficiency degraded.,Thermal Warning
PASS-1071,SAT-2003,1,2026-06-30T05:30:00Z,8.96,sunlight,GS-GSOC,28.3,4.34,5.01,95.41,21.8,28.1,67.6,0.318,0.104,-1317,-71.3,7.69E-08,10.5,36.4,48,199032.4,0,"Sunlight pass, battery charge rate within predicted models.",Nominal Operations
PASS-1072,SAT-2003,2,2026-06-30T07:00:00Z,10.53,sunlight,GS-SVALBARD,28.12,4.84,5.07,95.57,21.4,27.6,66.3,0.289,0.1,-1360,-71.4,4.02E-07,10.7,36.1,47.2,205064.2,0,"Acquisition of signal successful, subsystems in nominal sunlight state.",Nominal Operations
PASS-1073,SAT-2003,3,2026-06-30T08:30:00Z,10.28,transition,GS-KIRUNA,26.4,1.57,5.06,88.56,20.2,31.3,12.1,0.292,0.096,-1365,-72.3,2.31E-07,10.6,34.6,47.8,211081,0,"Transition pass, checking battery charge switch-over.",Nominal Operations
PASS-1074,SAT-2003,4,2026-06-30T10:00:00Z,8.5,eclipse,GS-ADELAIDE,25.58,0.02,5.01,76.17,23.3,29.5,-51.9,0.35,0.106,1334,-71.4,2.58E-07,10.3,33.6,48.1,216991,0,Minor ADCS pointing jitter. Wheel speed at 1334 RPM.,ADCS Nominal Drift
PASS-1075,SAT-2003,5,2026-06-30T11:30:00Z,9.64,eclipse,GS-SVALBARD,25.52,0.018,4.99,79.42,19.6,32.3,-59.5,0.9,0.115,1668,-70.7,4.35E-07,10.3,33.7,48,222969.4,0,Minor ADCS pointing jitter. Wheel speed at 1668 RPM.,ADCS Nominal Drift
PASS-1076,SAT-2003,6,2026-06-30T13:00:00Z,8.92,transition,GS-ADELAIDE,27,1.72,5.02,89.07,20.9,33.3,14.6,1.45,0.118,2002,-70,6.97E-08,11.3,33.5,48.5,228904.6,0,Minor ADCS pointing jitter. Wheel speed at 2002 RPM.,ADCS Nominal Drift
PASS-1077,SAT-2003,7,2026-06-30T14:30:00Z,11.39,sunlight,GS-ADELAIDE,28.14,3.82,5.04,95.3,22.2,27.3,69.9,2,0.13,2336,-70.8,2.47E-07,10,35.2,46.5,234988,0,Minor ADCS pointing jitter. Wheel speed at 2336 RPM.,ADCS Nominal Drift
PASS-1078,SAT-2003,8,2026-06-30T16:00:00Z,8.67,sunlight,GS-GSOC,28.16,4.25,5,94.23,23.4,31,64.2,2.55,0.124,2670,-70.6,3.65E-07,10.2,34.4,47.5,240908.2,0,Minor ADCS pointing jitter. Wheel speed at 2670 RPM.,ADCS Nominal Drift
PASS-1079,SAT-2003,9,2026-06-30T17:30:00Z,9.6,transition,GS-ADELAIDE,26.54,2,5.03,87.89,21.8,26.9,8.1,3.1,0.136,3004,-72.1,4.19E-07,11.3,32.9,48.1,246884.2,0,ADCS warning: pointing error at 3.1°. High wheel speed at 3004 RPM.,ADCS Warning
PASS-1080,SAT-2003,10,2026-06-30T19:00:00Z,11.43,eclipse,GS-SVALBARD,25.35,0.013,5.09,77.98,21,27.1,-52.1,3.65,0.143,3338,-72.2,7.52E-08,10.7,33.4,48.6,252970,0,ADCS warning: pointing error at 3.65°. High wheel speed at 3338 RPM.,ADCS Warning
PASS-1081,SAT-2004,1,2026-06-30T06:00:00Z,9.18,sunlight,GS-GSOC,28.09,4.51,5,95.46,32.1,28.3,66.9,0.382,0.08,-1420,-74.4,3.90E-07,9.7,36.5,48.5,225983.8,0,Battery fully charged. Solar array output nominal.,Nominal Operations
PASS-1082,SAT-2004,2,2026-06-30T07:30:00Z,8.8,sunlight,GS-MASPALOMAS,28.18,4.34,5.02,95.95,31.6,29.4,67.4,0.374,0.093,-1347,-74.4,2.42E-07,10.5,36.4,47.7,231911.8,0,All solar panels generating power. Charging battery.,Nominal Operations
PASS-1083,SAT-2004,3,2026-06-30T09:00:00Z,8.88,transition,GS-GSOC,26.41,1.64,4.99,91.08,32.1,27.4,11.5,0.393,0.098,-1381,-74.7,2.36E-07,10.9,36.8,48.5,237844.6,0,Orbit penumbra exit. Normal tracking lock.,Nominal Operations
PASS-1084,SAT-2004,4,2026-06-30T10:30:00Z,9.04,eclipse,GS-KIRUNA,25.34,0.026,4.97,78.59,32.3,28.6,-57.4,0.396,0.089,-1307,-75.8,3.82E-07,11,36.7,47.5,243787,0,Solar current is zero in shadow. Discharging battery.,Nominal Operations
PASS-1085,SAT-2004,5,2026-06-30T12:00:00Z,10.2,eclipse,GS-PERTH,25.33,0.021,5.05,77.64,32.2,25.6,-52.6,0.413,0.084,-1246,-74.5,1.62E-07,11.1,35.8,47.8,249799,0,Battery temperature elevated. Thermal trend concerning.,Thermal Drift
PASS-1086,SAT-2004,6,2026-06-30T13:30:00Z,9.63,transition,GS-GSOC,26.8,1.78,5.04,86.82,32.6,28.8,5.6,0.395,0.08,-1277,-73.8,3.01E-07,9.4,32.7,48.4,255776.8,0,Monitoring rising thermal trend on battery modules.,Thermal Drift
PASS-1087,SAT-2004,7,2026-06-30T15:00:00Z,8.51,sunlight,GS-MASPALOMAS,28.14,4.42,4.97,93.56,35.3,30.2,66.4,0.399,0.082,-1320,-73.8,3.05E-07,9.7,32.9,50.9,261687.4,0,Battery temp approaching yellow limit. Heat dissipation active.,Thermal Drift
PASS-1088,SAT-2004,8,2026-06-30T16:30:00Z,10.74,sunlight,GS-SVALBARD,28.3,4.69,5.04,92.23,36.8,26.2,65.5,0.39,0.099,-1364,-72,3.22E-07,10.2,33.8,49.9,267731.8,0,Monitoring rising thermal trend on battery modules.,Thermal Drift
PASS-1089,SAT-2004,9,2026-06-30T18:00:00Z,11.02,transition,GS-KIRUNA,26.52,1.85,5.07,89.08,38.4,29.5,7.1,0.348,0.077,-1370,-71.7,3.19E-07,10.6,32.6,50.1,273793,0,OBC board temperature higher than normal baseline.,Thermal Drift
PASS-1090,SAT-2004,10,2026-06-30T19:30:00Z,8.67,eclipse,GS-MASPALOMAS,25.56,0.015,5.06,79.53,39.5,27.6,-58.5,0.322,0.074,-1305,-70.4,3.91E-07,10.5,31.2,49.8,279713.2,0,Thermal subsystem showing minor heating trend. Parameters monitored.,Thermal Drift
PASS-1091,SAT-2005,1,2026-06-30T06:30:00Z,11.15,sunlight,GS-PERTH,28.18,4.52,5.05,94.4,20.6,25.8,69.7,0.284,0.11,-1249,-72.2,4.27E-07,9.9,36.6,46.4,376129,0,All systems healthy in sunlit portion of the orbit.,Nominal Operations
